trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_name,stop_lat,stop_lon,location_type,route_id,service_id,trip_headsign,block_id,trip_type
14,17:33:00,17:33:00,8100353,1,0,1,Flughafen Wien Bahnhof,48.121081,16.563102999999998,0,4,4,Graz Hbf,13,1
14,17:48:00,17:58:00,8103000,2,0,0,Wien Hbf,48.185101,16.377113,0,4,4,Graz Hbf,13,1
14,18:03:00,18:05:00,8100514,3,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,4,Graz Hbf,13,1
14,18:28:00,18:32:00,8100516,4,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,4,Graz Hbf,13,1
14,19:14:00,19:15:00,8100028,5,0,0,Semmering Bahnhof,47.639703999999995,15.831028,0,4,4,Graz Hbf,13,1
14,19:28:00,19:30:00,8100029,6,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,4,Graz Hbf,13,1
14,19:51:00,19:52:00,8100031,7,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,4,Graz Hbf,13,1
14,19:56:00,19:58:00,8100032,8,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,4,Graz Hbf,13,1
14,20:33:00,20:33:00,8100173,9,1,0,Graz Hbf,47.072503000000005,15.416464000000001,0,4,4,Graz Hbf,13,1
96,07:00:00,07:00:00,7800020,1,0,1,Zagreb Glavni kolodvor,45.8044381,15.9787052,0,9,0,Wien Hbf,81,1
96,10:14:00,10:19:00,7900006,2,0,1,Maribor,46.562065000000004,15.658010999999998,0,9,0,Wien Hbf,81,1
96,10:36:00,10:48:00,8100082,3,0,0,Spielfeld-Straß Bahnhof,46.709581,15.629121,0,9,0,Wien Hbf,81,1
96,10:57:00,10:58:00,8100035,4,0,0,Leibnitz Bahnhof,46.781221,15.546851,0,9,0,Wien Hbf,81,1
96,11:20:00,11:26:00,8100173,5,0,0,Graz Hbf,47.072503000000005,15.416464000000001,0,9,0,Wien Hbf,81,1
96,12:01:00,12:03:00,8100032,6,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,9,0,Wien Hbf,81,1
96,12:09:00,12:11:00,8100031,7,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,9,0,Wien Hbf,81,1
96,12:32:00,12:33:00,8100029,8,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,9,0,Wien Hbf,81,1
96,13:28:00,13:32:00,8100516,9,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,9,0,Wien Hbf,81,1
96,13:55:00,13:57:00,8100514,10,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,9,0,Wien Hbf,81,1
96,14:02:00,14:02:00,8103000,11,1,0,Wien Hbf,48.185101,16.377113,0,9,0,Wien Hbf,81,1
4210,05:58:00,05:58:00,8103000,1,0,1,Wien Hbf,48.185101,16.377113,0,4,0,Graz Hbf,3693,1
4210,06:03:00,06:05:00,8100514,2,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,0,Graz Hbf,3693,1
4210,06:28:00,06:32:00,8100516,3,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,0,Graz Hbf,3693,1
4210,07:28:00,07:30:00,8100029,4,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,0,Graz Hbf,3693,1
4210,07:51:00,07:52:00,8100031,5,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,0,Graz Hbf,3693,1
4210,07:56:00,07:58:00,8100032,6,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,0,Graz Hbf,3693,1
4210,08:33:00,08:33:00,8100173,7,1,0,Graz Hbf,47.072503000000005,15.416464000000001,0,4,0,Graz Hbf,3693,1
4211,06:33:00,06:33:00,8100353,1,0,1,Flughafen Wien Bahnhof,48.121081,16.563102999999998,0,4,0,Graz Hbf,3694,1
4211,06:48:00,06:58:00,8103000,2,0,0,Wien Hbf,48.185101,16.377113,0,4,0,Graz Hbf,3694,1
4211,07:03:00,07:05:00,8100514,3,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,0,Graz Hbf,3694,1
4211,07:28:00,07:32:00,8100516,4,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,0,Graz Hbf,3694,1
4211,08:28:00,08:30:00,8100029,5,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,0,Graz Hbf,3694,1
4211,08:51:00,08:52:00,8100031,6,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,0,Graz Hbf,3694,1
4211,08:56:00,08:58:00,8100032,7,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,0,Graz Hbf,3694,1
4211,09:33:00,09:33:00,8100173,8,1,0,Graz Hbf,47.072503000000005,15.416464000000001,0,4,0,Graz Hbf,3694,1
4212,07:26:00,07:26:00,8100173,1,0,1,Graz Hbf,47.072503000000005,15.416464000000001,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,08:01:00,08:03:00,8100032,2,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,08:09:00,08:11:00,8100031,3,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,08:32:00,08:33:00,8100029,4,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,08:45:00,08:47:00,8100028,5,0,0,Semmering Bahnhof,47.639703999999995,15.831028,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,09:28:00,09:32:00,8100516,6,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,09:55:00,09:57:00,8100514,7,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,10:02:00,10:12:00,8103000,8,0,0,Wien Hbf,48.185101,16.377113,0,4,0,Flughafen Wien Bahnhof,3695,1
4212,10:27:00,10:27:00,8100353,9,1,0,Flughafen Wien Bahnhof,48.121081,16.563102999999998,0,4,0,Flughafen Wien Bahnhof,3695,1
4279,09:26:00,09:26:00,8100173,1,0,1,Graz Hbf,47.072503000000005,15.416464000000001,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,10:01:00,10:03:00,8100032,2,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,10:09:00,10:11:00,8100031,3,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,10:32:00,10:33:00,8100029,4,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,11:28:00,11:32:00,8100516,5,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,11:55:00,11:57:00,8100514,6,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,12:02:00,12:12:00,8103000,7,0,0,Wien Hbf,48.185101,16.377113,0,4,0,Flughafen Wien Bahnhof,3738,1
4279,12:27:00,12:27:00,8100353,8,1,0,Flughafen Wien Bahnhof,48.121081,16.563102999999998,0,4,0,Flughafen Wien Bahnhof,3738,1
4298,09:33:00,09:33:00,8100353,1,0,1,Flughafen Wien Bahnhof,48.121081,16.563102999999998,0,4,0,Graz Hbf,3751,1
4298,09:48:00,09:58:00,8103000,2,0,0,Wien Hbf,48.185101,16.377113,0,4,0,Graz Hbf,3751,1
4298,10:03:00,10:05:00,8100514,3,0,0,Wien Meidling Bahnhof,48.174582,16.333737,0,4,0,Graz Hbf,3751,1
4298,10:28:00,10:32:00,8100516,4,0,0,Wr.Neustadt Hbf,47.811693,16.233812,0,4,0,Graz Hbf,3751,1
4298,11:14:00,11:15:00,8100028,5,0,0,Semmering Bahnhof,47.639703999999995,15.831028,0,4,0,Graz Hbf,3751,1
4298,11:28:00,11:30:00,8100029,6,0,0,Mürzzuschlag Bahnhof,47.607874,15.677004,0,4,0,Graz Hbf,3751,1
4298,11:51:00,11:52:00,8100031,7,0,0,Kapfenberg Bahnhof,47.445195,15.292089,0,4,0,Graz Hbf,3751,1
4298,11:56:00,11:58:00,8100032,8,0,0,Bruck/Mur Bahnhof,47.413649,15.279495,0,4,0,Graz Hbf,3751,1
4298,12:33:00,12:33:00,8100173,9,1,0,Graz Hbf,47.072503000000005,15.416464000000001,0,4,0,Graz Hbf,3751,1
